word,count
said,100600
one,45863
also,44935
people,43846
new,40283
would,36253
time,31495
like,28732
first,27774
two,26598
year,23016
last,22621
get,22374
state,22242
could,21865
many,20690
us,19859
years,19414
even,19102
back,19093
health,19012
may,17975
government,17858
make,17807
day,17498
home,16565
work,16384
going,16326
police,16286
made,15852
still,15822
coronavirus,15818
well,15241
way,15060
take,14934
president,14781
since,14780
need,14678
says,14555
public,14177
three,14035
cases,13925
see,13907
know,13808
world,13706
around,13466
week,13444
much,13382
go,13245
pandemic,12881
trump,12751
good,12650
help,12643
city,12431
think,12430
according,12049
want,11830
country,11818
another,11720
million,11560
including,11407
team,11400
right,11362
told,11211
family,11186
school,11149
per,11088
season,11075
game,11061
part,11044
really,10968
next,10936
say,10861
number,10824
company,10748
however,10720
come,10608
life,10379
every,10373
support,10246
days,10238
national,10045
social,9960
place,9959
best,9944
end,9632
community,9581
use,9563
high,9531
set,9404
lot,9346
show,9272
second,9218
news,9143
county,9020
business,9001
got,8988
things,8855
states,8807
long,8789
across,8786
house,8759
local,8726
group,8704
four,8654
friday,8633
put,8562
virus,8528
added,8526
without,8462
never,8326
students,8281
able,8200
due,8190
working,8103
man,8032
look,8030
case,7986
already,7962
great,7957
care,7953
found,7873
used,7823
something,7752
big,7719
court,7712
different,7693
times,7634
reported,7588
better,7555
former,7531
left,7526
media,7509
report,7508
keep,7502
members,7459
called,7440
months,7416
took,7310
always,7294
little,7290
might,7286
minister,7275
came,7178
away,7120
must,7119
monday,7114
today,7097
march,7056
services,7031
play,7012
shares,7006
making,6976
thursday,6970
department,6967
several,6944
continue,6933
seen,6920
later,6914
five,6911
south,6905
early,6884
open,6875
far,6865
service,6809
children,6808
office,6780
system,6780
past,6773
area,6772
officials,6771
black,6760
top,6756
night,6755
money,6735
information,6713
though,6703
start,6694
find,6637
tuesday,6608
election,6603
month,6594
together,6588
united,6528
quarter,6480
change,6450
order,6439
love,6427
food,6426
important,6406
announced,6402
market,6390
positive,6386
party,6363
saturday,6341
yet,6314
staff,6306
went,6305
series,6269
weeks,6245
among,6241
others,6236
wednesday,6236
following,6231
death,6222
point,6210
hospital,6186
total,6182
least,6153
given,6142
sunday,6127
give,6116
players,6107
